inec_state_id,state_name,state_code,raw_lga_name,normalized_lga_name,administrative_type,external_id,source_url
3,"AKWA IBOM",AK,IKA,Ika,lga,INEC-CVR:1051,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,IKONO,Ikono,lga,INEC-CVR:1052,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,"IKOT ABASI","Ikot Abasi",lga,INEC-CVR:1053,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,"IKOT EKPENE","Ikot Ekpene",lga,INEC-CVR:1054,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,INI,Ini,lga,INEC-CVR:1055,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,ITU,Itu,lga,INEC-CVR:1056,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,MBO,Mbo,lga,INEC-CVR:1057,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,"MKPAT ENIN","Mkpat Enin",lga,INEC-CVR:1058,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,"NSIT ATAI","Nsit Atai",lga,INEC-CVR:1059,https://cvr.inecnigeria.org/locator/browse/3/
3,"AKWA IBOM",AK,"NSIT IBOM","Nsit Ibom",lga,INEC-CVR:1060,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,"NSIT UBIUM","Nsit Ubium",lga,INEC-CVR:1061,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,"OBOT AKARA","Obot Akara",lga,INEC-CVR:1062,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,OKOBO,Okobo,lga,INEC-CVR:1063,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,ONNA,Onna,lga,INEC-CVR:1064,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,ORON,Oron,lga,INEC-CVR:1065,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,"ORUK ANAM","Oruk Anam",lga,INEC-CVR:1066,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,"UDUNG UKO","Udung Uko",lga,INEC-CVR:1067,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,UKANAFUN,Ukanafun,lga,INEC-CVR:1068,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,URUAN,Uruan,lga,INEC-CVR:1069,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,"URUE OFFONG/ORUKO","Urue Offong/Oruko",lga,INEC-CVR:1070,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
3,"AKWA IBOM",AK,UYO,Uyo,lga,INEC-CVR:1071,https://cvr.inecnigeria.org/locator/browse/state_id:3/page:2
4,ANAMBRA,AN,AGUATA,Aguata,lga,INEC-CVR:1073,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"ANAMBRA EAST","Anambra East",lga,INEC-CVR:1075,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"ANAMBRA WEST","Anambra West",lga,INEC-CVR:1076,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,ANAOCHA,Anaocha,lga,INEC-CVR:1077,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"AWKA NORTH","Awka North",lga,INEC-CVR:1078,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"AWKA SOUTH","Awka South",lga,INEC-CVR:1079,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,AYAMELUM,Ayamelum,lga,INEC-CVR:1074,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,DUNUKOFIA,Dunukofia,lga,INEC-CVR:1080,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,EKWUSIGO,Ekwusigo,lga,INEC-CVR:1081,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"IDEMILI NORTH","Idemili North",lga,INEC-CVR:1082,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,IDEMILI-SOUTH,Idemili-South,lga,INEC-CVR:1083,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,IHIALA,Ihiala,lga,INEC-CVR:1084,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,NJIKOKA,Njikoka,lga,INEC-CVR:1085,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"NNEWI NORTH","Nnewi North",lga,INEC-CVR:1086,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"NNEWI SOUTH","Nnewi South",lga,INEC-CVR:1087,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,OGBARU,Ogbaru,lga,INEC-CVR:1088,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,ONITSHA-NORTH,Onitsha-North,lga,INEC-CVR:1089,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"ONITSHA -SOUTH",Onitsha-South,lga,INEC-CVR:1090,https://cvr.inecnigeria.org/locator/browse/4/
4,ANAMBRA,AN,"ORUMBA NORTH","Orumba North",lga,INEC-CVR:1091,https://cvr.inecnigeria.org/locator/browse/state_id:4/page:2
4,ANAMBRA,AN,"ORUMBA SOUTH","Orumba South",lga,INEC-CVR:1092,https://cvr.inecnigeria.org/locator/browse/state_id:4/page:2
4,ANAMBRA,AN,OYI,Oyi,lga,INEC-CVR:1093,https://cvr.inecnigeria.org/locator/browse/state_id:4/page:2
5,BAUCHI,BA,ALKALERI,Alkaleri,lga,INEC-CVR:1095,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,BAUCHI,Bauchi,lga,INEC-CVR:1096,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,BOGORO,Bogoro,lga,INEC-CVR:1097,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,DAMBAM,Dambam,lga,INEC-CVR:1098,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,DARAZO,Darazo,lga,INEC-CVR:1099,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,DASS,Dass,lga,INEC-CVR:1100,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,GAMAWA,Gamawa,lga,INEC-CVR:1101,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,GANJUWA,Ganjuwa,lga,INEC-CVR:1102,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,GIADE,Giade,lga,INEC-CVR:1103,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,ITAS/GADAU,Itas/Gadau,lga,INEC-CVR:1104,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,JAMA'ARE,Jama'are,lga,INEC-CVR:1105,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,KATAGUM,Katagum,lga,INEC-CVR:1106,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,KIRFI,Kirfi,lga,INEC-CVR:1107,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,MISAU,Misau,lga,INEC-CVR:1108,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,NINGI,Ningi,lga,INEC-CVR:1109,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,SHIRA,Shira,lga,INEC-CVR:1110,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,"TAFAWA BALEWA","Tafawa Balewa",lga,INEC-CVR:1111,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,TORO,Toro,lga,INEC-CVR:1112,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,WARJI,Warji,lga,INEC-CVR:1113,https://cvr.inecnigeria.org/locator/browse/5/
5,BAUCHI,BA,ZAKI,Zaki,lga,INEC-CVR:1114,https://cvr.inecnigeria.org/locator/browse/state_id:5/page:2
6,BAYELSA,BY,BRASS,Brass,lga,INEC-CVR:1116,https://cvr.inecnigeria.org/locator/browse/6/
6,BAYELSA,BY,EKEREMOR,Ekeremor,lga,INEC-CVR:1117,https://cvr.inecnigeria.org/locator/browse/6/
6,BAYELSA,BY,KOLOKUMA/OPOKUMA,Kolokuma/Opokuma,lga,INEC-CVR:1118,https://cvr.inecnigeria.org/locator/browse/6/
6,BAYELSA,BY,NEMBE,Nembe,lga,INEC-CVR:1119,https://cvr.inecnigeria.org/locator/browse/6/
6,BAYELSA,BY,OGBIA,Ogbia,lga,INEC-CVR:1120,https://cvr.inecnigeria.org/locator/browse/6/
6,BAYELSA,BY,SAGBAMA,Sagbama,lga,INEC-CVR:1121,https://cvr.inecnigeria.org/locator/browse/6/
6,BAYELSA,BY,"SOUTHERN IJAW","Southern Ijaw",lga,INEC-CVR:1122,https://cvr.inecnigeria.org/locator/browse/6/
6,BAYELSA,BY,YENAGOA,Yenagoa,lga,INEC-CVR:1123,https://cvr.inecnigeria.org/locator/browse/6/
7,BENUE,BE,ADO,Ado,lga,INEC-CVR:1125,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,AGATU,Agatu,lga,INEC-CVR:1126,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,APA,Apa,lga,INEC-CVR:1127,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,BURUKU,Buruku,lga,INEC-CVR:1128,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,GBOKO,Gboko,lga,INEC-CVR:1129,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,GUMA,Guma,lga,INEC-CVR:1130,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,"GWER EAST","Gwer East",lga,INEC-CVR:1131,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,"GWER WEST","Gwer West",lga,INEC-CVR:1132,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,KATSINA-ALA,Katsina-Ala,lga,INEC-CVR:1133,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,KONSHISHA,Konshisha,lga,INEC-CVR:1134,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,KWANDE,Kwande,lga,INEC-CVR:1135,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,LOGO,Logo,lga,INEC-CVR:1136,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,MAKURDI,Makurdi,lga,INEC-CVR:1137,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,OBI,Obi,lga,INEC-CVR:1138,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,OGBADIBO,Ogbadibo,lga,INEC-CVR:1139,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,OHIMINI,Ohimini,lga,INEC-CVR:1141,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,OJU,Oju,lga,INEC-CVR:1140,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,OKPOKWU,Okpokwu,lga,INEC-CVR:1142,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,OTUKPO,Otukpo,lga,INEC-CVR:1143,https://cvr.inecnigeria.org/locator/browse/7/
7,BENUE,BE,TARKA,Tarka,lga,INEC-CVR:1144,https://cvr.inecnigeria.org/locator/browse/state_id:7/page:2
7,BENUE,BE,UKUM,Ukum,lga,INEC-CVR:1145,https://cvr.inecnigeria.org/locator/browse/state_id:7/page:2
7,BENUE,BE,USHONGO,Ushongo,lga,INEC-CVR:1146,https://cvr.inecnigeria.org/locator/browse/state_id:7/page:2
7,BENUE,BE,VANDEIKYA,Vandeikya,lga,INEC-CVR:1147,https://cvr.inecnigeria.org/locator/browse/state_id:7/page:2
8,BORNO,BO,ABADAM,Abadam,lga,INEC-CVR:1149,https://cvr.inecnigeria.org/locator/browse/8/
8,BORNO,BO,"ASKIRA / UBA",Askira/Uba,lga,INEC-CVR:1150,https://cvr.inecnigeria.org/locator/browse/8/
8,BORNO,BO,BAMA,Bama,lga,INEC-CVR:1151,https://cvr.inecnigeria.org/locator/browse/8/
8,BORNO,BO,BAYO,Bayo,lga,INEC-CVR:1152,https://cvr.inecnigeria.org/locator/browse/8/
8,BORNO,BO,BIU,Biu,lga,INEC-CVR:1153,https://cvr.inecnigeria.org/locator/browse/8/
8,BORNO,BO,CHIBOK,Chibok,lga,INEC-CVR:1154,https://cvr.inecnigeria.org/locator/browse/8/
8,BORNO,BO,DAMBOA,Damboa,lga,INEC-CVR:1155,https://cvr.inecnigeria.org/locator/browse/8/
8,BORNO,BO,DIKWA,Dikwa,lga,INEC-CVR:1156,https://cvr.inecnigeria.org/locator/browse/8/
